"client_name","contractor_name","DateUpdated","work_type","total_payments","status","signed_contract_received_date","project_id"
BULLEY & ANDREWS LLC,Owner TEST Company,2022-08-02 21:27:15.833,Sandbox Test Project Prime Contract,0.00,Approved,,474920
Owner TEST Company,BULLEY & ANDREWS LLC,2022-08-02 21:27:15.833,Sandbox Prime Contract - Change Mgmt,0.00,Approved,,474920
Owner TEST Company,,2022-08-02 21:27:15.833,Unit-Quantity Prime Contract Test,0.00,Approved,,474920
SCHOOL OF THE ART INSTITUTE OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:28:10.490,Vaulted Sidewalk Repairs,1010419.47,Approved,,1129288
ROSCOE VILLAGE LOFTS CONDO ASSOCIATION,B & A MASONRY RESTORATION LLC,2022-09-07 09:06:35.600,Masonry repairs,5423677.76,Approved,2020-03-18,1136614
,B & A MASONRY RESTORATION LLC,2022-09-07 09:06:35.600,ComEd,1196.32,Approved,,1136614
UNIVERSITY OF ILLINOIS,B & A MASONRY RESTORATION LLC,2022-08-02 21:29:24.823,Masonry repairs,174500.00,Approved,,1139163
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:29:36.120,Masonry Restoration,630.00,Approved,,1143693
THE HARLEM IRVING CO'S,B & A CONCRETE RESTORATION LLC,2022-08-02 21:29:48.920,Harlem Irving Plaza North Mall Garage Injection,0.00,Approved,,1149605
SENIOR LIFESTYLES CORPORATION,B & A CONCRETE RESTORATION LLC,2022-08-02 21:30:04.656,Post Tension Beam Repairs ,913629.00,Approved,,1149850
CHARTER CONSTRUCTION COMPANY,B & A CONCRETE RESTORATION LLC,2022-08-02 21:30:27.700,Investigative work,157100.00,Approved,,1149879
HARPER COLLEGE,B & A CONCRETE RESTORATION LLC,2022-08-02 21:30:34.850,Concrete Restoration,33982.00,Approved,,1149913
"10 S RIVERSIDE PROPERTY OWNER LLC",B & A CONCRETE RESTORATION LLC,2022-09-15 09:06:00.206,"10 S. Riverside platform rental",238750.00,Approved,,1150739
