"name","abbreviated_name","authorized_bidder","company","fax_number","project_id"
Owner TEST Company,"",true,Owner TEST Company,"",474920
Subcontractor TEST Company,Test Code,true,Subcontractor TEST Company,(333) 654-9995,474920
Architect TEST Company,,true,Architect TEST Company,,474920
MIDWEST ARCHITECTURAL GLASS,MIDAR010,true,MIDWEST ARCHITECTURAL GLASS,"815-727-3838",474920
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,474920
JAMERSON & BAUWENS ELEC CONTRS INC *,JAMBA010,true,JAMERSON & BAUWENS ELEC CONTRS INC *,(847) 291-2008,474920
ALL-TECH DECORATING CO *,ALLTE010,true,ALL-TECH DECORATING CO *,(630) 378-0004,474920
DICKERSON ENGINEERING INC,DICEN010,true,DICKERSON ENGINEERING INC,(847) 966-0294,474920
DOETSCH CONTRACTORS INC,DOECO010,true,DOETSCH CONTRACTORS INC,"",474920
ECKENHOFF SAUNDERS ARCHITECTS,ECKSA900,true,ECKENHOFF SAUNDERS ARCHITECTS,(312) 786-1838,474920
RUSH UNIVERSITY MEDICAL CENTER,RUSUN008,true,RUSH UNIVERSITY MEDICAL CENTER,(312) 942-5581,474920
NORTH CENTRAL COLLEGE,NORCE900,true,NORTH CENTRAL COLLEGE,(630) 637-5121,474920
BLOCK IRON & SUPPLY CO INC,BLOIR010,true,BLOCK IRON & SUPPLY CO INC,(920) 231-3051,474920
WATERMARK CAPITAL PARTNERS,WATCA010,true,WATERMARK CAPITAL PARTNERS,"",474920
B & A CONCRETE RESTORATION LLC,BULAN023,true,B & A CONCRETE RESTORATION LLC,,474920
PRIME SCAFFOLD INC *,PRISC010,true,PRIME SCAFFOLD INC *,(630) 595-4352,474920
CALANCE*,CALAN010,true,CALANCE*,,474920
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,474920
BULLEY & ANDREWS,BULAN900,true,BULLEY & ANDREWS,,474920
UNIVERSITY OF NOTRE DAME,NOTDA901,true,UNIVERSITY OF NOTRE DAME,,474920
HELM MECHANICAL,HELME010,true,HELM MECHANICAL,,474920
ROCK CITY CONSTRUCTION CO LLC,ROCCA900,true,ROCK CITY CONSTRUCTION CO LLC,,474920
BULLEY & ANDREWS CONCRETE RESTORATION LLC,,true,BULLEY & ANDREWS CONCRETE RESTORATION LLC,,474920
N/A,,true,N/A,"",474920
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,1115232
BLOCK IRON & SUPPLY CO INC,BLOIR010,true,BLOCK IRON & SUPPLY CO INC,(920) 231-3051,1115232
CALANCE*,CALAN010,true,CALANCE*,,1115232
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,1115232
BULLEY & ANDREWS,BULAN900,true,BULLEY & ANDREWS,,1115232
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,1115235
B & A CONCRETE RESTORATION LLC,BULAN023,true,B & A CONCRETE RESTORATION LLC,,1115235
CALANCE*,CALAN010,true,CALANCE*,,1115235
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,1115235
BULLEY & ANDREWS,BULAN900,true,BULLEY & ANDREWS,,1115235
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,1115240
B & A CONCRETE RESTORATION LLC,BULAN023,true,B & A CONCRETE RESTORATION LLC,,1115240
CALANCE*,CALAN010,true,CALANCE*,,1115240
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,1115240
BULLEY & ANDREWS,BULAN900,true,BULLEY & ANDREWS,,1115240
BULLEY & ANDREWS CONCRETE RESTORATION LLC,,true,BULLEY & ANDREWS CONCRETE RESTORATION LLC,,1115240
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,1121633
CALANCE*,CALAN010,true,CALANCE*,,1121633
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,1121633
BULLEY & ANDREWS,BULAN900,true,BULLEY & ANDREWS,,1121633
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,1121636
CALANCE*,CALAN010,true,CALANCE*,,1121636
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,1121636
BULLEY & ANDREWS,BULAN900,true,BULLEY & ANDREWS,,1121636
BULLEY & ANDREWS LLC,BULAN020,true,BULLEY & ANDREWS LLC,,1121637
CALANCE*,CALAN010,true,CALANCE*,,1121637
B & A MASONRY RESTORATION LLC,BULAN025,true,B & A MASONRY RESTORATION LLC,,1121637
