"project_id","address","city","state_code","country_code","zip"
474908,,,,US,
474920,"6309 Carpinteria Avenue",Carpinteria,CA,US,"93013"
475003,"20 W. Kinzie St.",Chicago,IL,US,"60654"
1115232,"1755 W. Armitage Avenue",Chicago,,US,"60622"
1115235,"1755 W Armitage Ave",Chicago,IL,US,"60622"
1115240,"1755 W. Armitage Avenue",Chicago,IL,US,"60622"
1121633,"1755 W. Armitage Avenue",Chicago,,US,"60622"
1121636,"1755 W. Armitage Avenue",Chicago,,US,"60622"
1121637,"1755 W. Armitage Avenue",Chicago,,US,"60622"
1121640,"1755 W. Armitage Avenue",Chicago,,US,"60622"
1121645,"1755 W. Armitage Avenue",Chicago,,US,"60622"
1121646,"1000 Lake Cook Road",Glencoe,IL,US,"60022"
1121649,"800 W. Belden Avenue",Chicago,IL,US,"60614"
1124393,"2300 N. Lincoln Park West",Chicago,IL,US,"60614"
1126687,"4000 W. Diversey Avenue",Chicago,IL,US,"60647"
1128711,"2626 N. Lakeview Avenue",Chicago,IL,US,"60614"
1129288,"112 S. Michigan Ave",Chicago,IL,US,"60603"
1133837,"79 West Monroe",Chicago,IL,US,"60603"
1133845,"425 Dempster Street",Evanston,IL,US,"60201"
1136614,"1800 W Roscoe St",Chicago,IL,US,"60657"
1138833,"198 E. Chicago Avenue",Naperville,IL,US,"60540"
1138834,"198 E. Chicago Avenue",Naperville,IL,US,"60540"
1138835,"198 E. Chicago Avenue",Naperville,IL,US,"60540"
1139014,"912 S Wood",Chicago,IL,US,"60612"
1139016,"912 S Wood",Chicago,IL,US,"60612"
1139024,"912 S Wood",Chicago,IL,US,"60612"
1139025,"912 S Wood",Chicago,IL,US,"60612"
1139027,"912 S Wood",Chicago,IL,US,"60612"
1139031,"912 S Wood",Chicago,IL,US,"60612"
1139033,"912 S Wood",Chicago,IL,US,"60612"
1139037,"912 S Wood",Chicago,IL,US,"60612"
1139041,"912 S Wood",Chicago,IL,US,"60612"
1139048,"912 S. Wood",Chicago,IL,US,"60065"
1139050,"912 S. Wood",Chicago,IL,US,"60065"
1139053,"912 S. Wood",Chicago,IL,US,"60065"
1139163,"912 S. Wood",Chicago,IL,US,"60612"
1139423,"198 E. Chicago Avenue",Naperville,IL,US,"60540"
1140107,"100 S Racine Ave",Chicago,IL,US,"60607"
1143693,"6364 N Sheridan Rd",Chicago,IL,US,"60660"
1144016,"1755 W Armitage Ave",Chicago,IL,US,"60622"
1144737,"1755 West Armitage",Chicago,IL,US,"60622"
1146707,"5 Woodfield Mall",Schaumburg,IL,US,"60173"
1147314,"3400 N Lakeshore Drive",Chicago,IL,US,"60657"
1149605,"4104 N Harlem Avenue",Norridge,IL,US,"60634"
1149672,"804 W Belden Avenue",Chicago,IL,US,"60614"
1149704,"504 Northwestern Avenue",West Lafayette,IN,US,"47906"
1149794,"300 S. Riverside",Chicago,IL,US,"60606"
1149813,"1365 North Deerborn Parkway",Chicago,IL,US,"60610"
1149831,"919 N. Michigan Avenue",Chicago,IL,US,"60611"
1149850,"5355 North Sheridan Road",Chicago,IL,US,"60640"
1149879,"433 W. Harrison Street",Chicago,IL,US,"60607"
1149913,"1200 West Algonquin Road",Palatine,IL,US,"60067"
1150676,"3440 South Dearborn",Chicago,IL,US,"60616"
1150739,"10 South Riverside",Chicago,IL,US,"60606"
1150779,"334 City Center",Oshkosh,WI,US,"54901"
1151634,"1245 N State Street",Chicago,IL,US,"60610"
1151643,"155 Delaware St",Indianapolis,IN,US,"46204"
1151687,"333 W 35th St",Chicago,IL,US,"60616"
1151700,"412 W Everett St",Dixon,IL,US,"61021"
1151711,"6033 North Sheridan Road",Chicago,IL,US,"60660"
1151739,"1603 Orrington Avenue",Evanston,IL,US,"60201"
1151752,"20 N Upper Wacker Drive",Chicago,IL,US,"60606"
1151892,"89 Broad Street",Boston,MA,US,"02110"
1151905,"1 Stevenson Dr",Lincolshire,IL,US,"60069"
1151917,"500 Davis",Evanston,IL,US,"60201"
1151925,"500 West Jackson",Chicago,IL,US,"60661"
1154445,"1100 W Fulton Market",Chicago,IL,US,"60607"
1154451,"318 S Michigan",Chicago,IL,US,"60604"
1154950,"53 W Jackson",Chicago,IL,US,"60604"
1156178,"8 East Randolph St",Chicago,IL,US,"60611"
1156473,"1454 W Superior St",Chicago,IL,US,"60642"
1156560,"300 E Northwest Highway",Des Plaines,IL,US,"60016"
1156780,"11 South Wille Street; 5 West Central Road; 20 South Main Street",Mount Prospect,IL,US,"60056"
1156808,"1 Oakbrook Terrace",Oakbrook,IL,US,"60523"
1157023,"300 East Superior",Chicago,IL,US,"60611"
1158096,"1500 N Astor",Chicago,IL,US,"60610"
1158407,"1127 E 57th St",Chicago,IL,US,"60637"
1159091,"300 East Ohio",Chicago,IL,US,"60611"
1159118,"828 S Wabash",Chicago,IL,US,"60605"
1159133,"101 N New Jersey Street",Indianapolis,IN,US,"46204"
1159149,"420 University Blvd.",Indianapolis,IN,US,"46202"
1159157,"1740 Oak Avenue",Evanston,IL,US,"60201"
1159168,"1801 Newman Road",West Lafayette,IN,US,"47906"
1159220,"360 E Sea Horse Dr",Waukegan,IL,US,"60085"
1159223,"4104 N Harlem Ave",Norridge,IL,US,"60706"
1159231,"1 West New York Street",Aurora,IL,US,"60506"
1159242,"511 Woodward Avenue",Detroit,MI,US,"48226"
1159246,"1 Pierce Place",Itasca,IL,US,"60143"
1159254,"2815 Jorie BLVD",Oak Brook,IL,US,"60523"
1159275,"850 West Jackson Blvd",Chicago,IL,US,"60607"
1159284,"1165 W Stadium Ave",West Lafayette,IN,US,"47906"
1159290,"1930 Glenview Road",Glenview,IL,US,"60025"
1161263,"2145 Sheridan Road",Evanston,IL,US,"60208"
1162801,"1400 Opus Place",Downers Grove,IL,US,"60515"
1163555,"109 East Olive Street",Bloomington,IL,US,"61701"
1163720,"300 East Superior",Chicago,IL,US,"60611"
1163725,"25 East Washington",Chicago,IL,US,"60602"
1163747,"235 Randall Road",Saint Charles,IL,US,"60174"
1163753,"203 North LaSalle",Chicago,IL,US,"60601"
1163765,"600 S Michigan",Chicago,IL,US,"60605"
1163768,"17-21 East Adams",Chicago,IL,US,"60603"
1163778,"1250 N Dearborn Condos",Chicago,IL,US,"60610"
1163793,"16601-16690 & 9790-9810 Liberty Circle",Orland Hills,IL,US,"60467"
1163798,"630 East Sea Horse Drive",Waukegan,IL,US,"60085"
1163808,"2600 N Southport Avenue",Chicago,IL,US,"60614"
1163812,Unnamed Road,Palatine,IL,US,"60067"
1163817,"1755 West Armitage",Chicago,IL,US,"60622"
1164102,"425 E Erie Street",Chicago,IL,US,"60611"
1164246,"100 E. Pearson St",Chicago,IL,US,"60611"
1164253,"1603 Orrington Ave",Evanston,IL,US,"60201"
1164261,"2800 Country Club Dr",Olympia Fields,IL,US,"60461"
1164266,"730 S. Clark",Chicago,IL,US,"60605"
1164272,"390-470 Mahagony Ct",Palatine,IL,US,"60067"
1164281,"2626 N. Lakeview",Chicago,IL,US,"60651"
1164288,"1453 W. 38th St",Chicago,IL,US,"60609"
1164304,"3440 S. Dearborn St",Chicago,IL,US,"60616"
1164310,"209 E LSD",Chicago,IL,US,"60611"
1164318,"1001 Broadway",Nashville,TN,US,"37203"
1164324,"1769 & 1819 W Pershing",Chicago,IL,US,"60609"
1164331,"7416 N. Ridge BLVD",Chicago,IL,US,"60645"
1164348,"1365 N. Dearborn St",Chicago,IL,US,"60610"
1164355,"1300 Chapel Dr",Valparaiso,IN,US,"46383"
1164363,"6250 N. Sheridian Rd",Chicago,IL,US,"60660"
1164366,"1501 W. 38th St",Chicago,IL,US,"60609"
1164368,"1 Ingalls Dr",Harvey,IL,US,"60426"
1164374,"1131 E. 57th St",Chicago,IL,US,"60637"
1165039,"1755 W Armitage",Chicago,,US,"60622"
1165916,"860 W Blackhawk St",Chicago,IL,US,"60642"
1166290,"600 Emerson St",Evanston,IL,US,"60201"
1166334,"700 West End Avenue",Chicago Heights,IL,US,"60411"
1167040,"1755 W Armitage",Chicago,,US,"60622"
1167160,"701 W Jackson Blvd",Chicago,IL,US,"60661"
1167161,"640 Tyler St",Gary,IN,US,"46402"
1167167,"411 S Sangamon St",Chicago,IL,US,"60607"
1167187,"1300 S LSD",Chicago,IL,US,"60605"
1167191,"150 N Clinton St",Chicago,IL,US,"60661"
1167200,"330 Pfingsten Rd",Northbrook,IL,US,"60062"
1167210,"1424 N. Dearborn St",Chicago,IL,US,"60610"
1167215,"2314 N Lincoln Park W",Chicago,IL,US,"60614"
1167223,"2000 W Diversey Parkway",Chicago,IL,US,"60618"
1167230,"10 W 35th street",Chicago,IL,US,"60616"
1167234,"1019 E Chicago St",Elgin,IL,US,"60120"
1167253,"1301 N Astor St.",Chicago,IL,US,"60610"
1167260,"1936 Michigan Ave",Chicago,IL,US,"60616"
1167265,"400 E 41st St",Chicago,IL,US,"60653"
1167266,"206 East Rand Road",Arlington Heights,IL,US,"60004"
1167276,"301 N Broadway ST",Greensburg,IN,US,"47240"
1167286,"4914 North Clark Street",Chicago,IL,US,"60640"
1167296,"1942 West Fullerton Avenue",Chicago,IL,US,"60647"
1167458,"1755 W Armitage",Chicago,,US,"60622"
1167580,"111 E Pearson St",Chicago,IL,US,"60611"
