"project_id","name","display_name","project_number","office_name","project_type_name","description","estimated_start_date","estimated_completion_date","project_start_date","projected_finish_date","last_wokring_update"
474908,Standard Project Template,Standard Project Template,,"Bulley & Andrews, LLC",,,,,2018-02-14,,2024-03-19
474920,Sandbox Test Project,"1234 - Sandbox Test Project","1234","Bulley & Andrews, LLC",Single Family Home,To test out Procore's tools and features.,2022-01-01,2022-12-02,2019-04-01,2022-03-28,2024-09-20
475003,WeWork Kinzie L16 Buildout,"118074 - WeWork Kinzie L16 Buildout","118074","Bulley & Andrews, LLC",Corporate,"23,500 SF Tenant Improvement",2018-02-19,2018-06-01,2018-01-04,2018-06-04,2024-03-19
1115232,Corporate/Commercial/Restoration Division Standard Project Template,ccr_template - Corporate/Commercial/Restoration Division Standard Project Template,ccr_template,"Bulley & Andrews, LLC",Commercial,,2022-01-19,2022-01-19,2022-01-19,2022-01-19,2024-08-06
1115235,BAMR Standard Project Template,"42XXXXX - BAMR Standard Project Template","42XXXXX","Bulley & Andrews Masonry Restoration, LLC",Historical Restoration,,,,2020-01-13,,2024-08-06
1115240,BACR Standard Project Template,"520xxxx - BACR Standard Project Template","520xxxx","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-01-13,,2024-08-06
1121633,Institutional Division Standard Project Template,institution_template - Institutional Division Standard Project Template,institution_template,"Bulley & Andrews, LLC",Community Center,,,,2020-01-16,,2024-08-06
1121636,Educational Division Standard Project Template,edu_template - Educational Division Standard Project Template,edu_template,"Bulley & Andrews, LLC",Higher Ed,,,,2020-01-16,,2024-08-06
1121637,Hospitality Division Standard Project Template,hotel_template - Hospitality Division Standard Project Template,hotel_template,"Bulley & Andrews, LLC",Hospitality,,,,2020-01-16,,2024-08-06
1121640,Healthcare Division Standard Project Template,health_template - Healthcare Division Standard Project Template,health_template,"Bulley & Andrews, LLC",Healthcare,,,,2020-01-16,,2024-08-06
1121645,Residential + Restoration Standard Project Template,residential_template - Residential + Restoration Standard Project Template,residential_template,Bulley & Andrews Residential + Restoration,Residential,,,,2020-01-16,,2024-08-06
